words,links,capital_words,spam_word_count,is_spam
836,1,0,7,1
483,0,2,6,0
117,1,3,2,0
255,1,1,0,0
694,5,24,4,1
130,2,3,0,0
259,1,7,2,0
203,2,2,5,0
289,0,14,6,1
288,7,18,3,1
504,8,6,4,1
58,0,2,2,0
287,1,8,2,0
333,2,0,2,0
133,3,20,1,1
100,1,1,1,0
114,1,20,3,1
849,1,10,0,1
453,1,0,1,0
131,5,10,2,1
183,6,22,6,1
339,2,1,2,0
109,1,1,0,0
967,9,19,9,1
679,7,14,7,1
392,0,19,1,1
549,3,22,5,1
429,7,26,10,1
278,10,11,6,1
130,2,11,3,1
311,9,29,3,1
897,4,8,3,1
185,5,3,2,0
279,6,10,7,1
33,1,6,1,0
891,3,18,4,1
106,1,0,2,0
396,4,11,7,1
191,2,0,2,0
176,1,2,1,0
317,2,0,2,0
100,0,3,1,0
282,1,1,0,0
245,5,28,7,1
765,6,9,7,1
48,1,1,0,0
219,1,3,1,0
200,0,6,10,1
656,6,27,3,1
663,6,22,9,1
29,1,2,1,0
125,2,3,6,0
189,0,2,0,0
254,1,1,0,0
96,1,10,1,0
174,10,18,7,1
726,2,22,4,1
381,4,6,2,0
190,3,2,4,0
86,0,0,1,0
272,1,3,0,0
283,2,3,5,0
38,1,3,2,0
144,8,27,10,1
830,9,23,10,1
31,0,8,4,0
197,2,3,5,0
134,1,1,3,0
119,0,3,1,0
278,4,1,3,0
882,7,21,3,1
108,4,16,9,1
67,5,2,2,0
149,1,3,2,0
520,3,24,0,1
129,1,3,4,0
255,8,21,9,1
479,2,2,5,0
882,9,23,2,1
92,0,4,5,1
405,7,17,8,1
300,0,1,1,0
168,0,7,10,1
244,2,2,2,0
134,4,29,7,1
716,0,2,6,1
721,4,21,9,1
248,0,5,4,0
205,2,1,2,0
64,1,2,0,0
897,7,4,10,1
398,2,3,4,0
238,1,2,1,0
298,2,6,1,0
139,0,3,1,0
71,5,2,1,0
107,0,2,0,0
900,7,17,5,1
196,0,1,2,0
127,0,4,0,0
187,2,4,3,0
59,2,13,9,1
175,1,1,0,0
335,4,21,9,1
351,1,0,0,0
215,5,2,5,0
209,0,2,2,0
148,3,0,1,0
345,2,1,1,0
43,2,1,1,0
568,4,17,10,1
182,9,27,0,1
190,6,13,6,1
224,1,0,2,0
178,0,8,2,0
374,4,10,9,1
834,0,9,6,1
83,10,23,10,1
868,7,3,9,1
196,0,1,0,0
219,1,8,1,1
454,9,27,9,1
100,3,27,10,1
983,2,11,0,1
59,1,0,1,0
267,0,3,6,0
567,1,16,4,1
305,8,12,4,1
177,3,19,4,1
121,10,19,0,1
173,2,1,1,0
170,0,3,1,0
197,0,1,6,0
211,1,2,4,0
142,4,0,0,0
234,2,5,1,0
258,1,1,1,0
295,2,2,1,0
21,0,1,1,0
250,4,19,5,1
933,8,0,3,1
576,0,12,3,1
937,2,10,7,1
104,2,3,0,0
263,2,3,0,0
40,2,1,1,0
117,2,0,2,0
856,6,4,4,1
290,0,0,2,0
628,2,15,4,1
296,1,0,1,0
95,5,3,7,1
554,0,28,10,1
161,8,26,9,1
